run_id,t,x_m,segment,v_mps,a_mps2,limit_mps,power_w,energy_kwh,regen_kwh,event
W6_vector_01,290.4249851455734,3689.7875816993464,3,20.0,0.0,20.0,76800.0,10.981487501299743,-0.0,CRUISE
W6_vector_01,290.6251485442662,3693.7908496732025,3,20.0,0.0,20.0,76800.0,10.98575765380519,-0.0,CRUISE
W6_vector_01,290.825311942959,3697.7941176470586,3,20.0,0.0,20.0,76800.0,10.990027806310637,-0.0,CRUISE
W6_vector_01,291.0254753416518,3701.797385620915,3,20.0,0.0,20.0,76800.0,10.994297958816086,-0.0,CRUISE
W6_vector_01,291.2256387403446,3705.800653594771,3,20.0,0.0,20.0,76800.0,10.99856811132153,-0.0,CRUISE
W6_vector_01,291.42580213903744,3709.8039215686276,3,20.0,0.0,20.0,76800.0,11.002838263826979,-0.0,CRUISE
W6_vector_01,291.6259655377303,3713.8071895424837,3,20.0,0.0,20.0,76800.0,11.007108416332427,-0.0,CRUISE
W6_vector_01,291.82612893642306,3717.8104575163397,3,20.0,0.0,20.0,76800.0,11.011378568837872,-0.0,CRUISE
W6_vector_01,292.0262923351159,3721.8137254901962,3,20.0,0.0,20.0,76800.0,11.01564872134332,-0.0,CRUISE
W6_vector_01,292.2264557338087,3725.8169934640523,3,20.0,0.0,20.0,76800.0,11.019918873848766,-0.0,CRUISE
W6_vector_01,292.4266191325015,3729.8202614379084,3,20.0,0.0,20.0,76800.0,11.024189026354215,-0.0,CRUISE
W6_vector_01,292.6267825311943,3733.823529411765,3,20.0,0.0,20.0,76800.0,11.02845917885966,-0.0,CRUISE
W6_vector_01,292.82694592988713,3737.826797385621,3,20.0,0.0,20.0,76800.0,11.032729331365108,-0.0,CRUISE
W6_vector_01,293.0271093285799,3741.830065359477,3,20.0,0.0,20.0,76800.0,11.036999483870554,-0.0,CRUISE
W6_vector_01,293.22727272727275,3745.833333333333,3,20.0,0.0,20.0,76800.0,11.041269636376,-0.0,CRUISE
